Analiz Edilen Madde,İlişkili Rehber Maddesi (Yerel / Uluslararası),Kontrol Sorusu,Açıklama ve Gerekçe,Denetim Testi (Prosedür),Uygulama Notu / Örnek Kanıt
Sorunlu Alacak Çözümleme Rehberi Madde 10,Kredilerin Sınıflandırılması Yönetmeliği md.5 (donuk alacak tanımı); EBA/GL/2018/06 (NPL stratejisi),"Banka, sorunlu alacakların çözümü için en az üç yıllık, gerçekçi hedefleri içeren bir strateji oluşturup uygulamaya koymuş mu? Bu strateji, portföy bazında tahsilatı maksimize edecek hedef ve yöntemleri belirlemekte ve borçlulara yasal bilgilendirme yapılarak tüketici koruma kurallarına uyulmakta mı?","Üç yıllık sorunlu alacak stratejisi, bankanın donuk alacaklarını planlı ve zamanında azaltmasını sağlar. Gerçekçi ve ölçülebilir hedefler belirlemek, stratejinin başarısını takip etmeye imkân verir ve banka sermayesinin gereksiz risklerle aşınmasını önler. Borçluların bilgilendirilmesi ve tüketici koruma kurallarına uyum ise yasal yaptırım ve itibar kaybı riskini azaltarak tahsilatın şeffaf ve adil bir şekilde yürütülmesini temin eder.","• Bankanın onaylı ""Sorunlu Alacak Stratejisi"" dokümanını inceleyerek, dokümanın en az üç yıllık bir zaman dilimini kapsayıp kapsamadığını ve portföy bazında niceliksel hedefler içerip içermediğini kontrol edin.• Yönetim kurulu tutanaklarında stratejinin onaylandığına dair kararın (ör. Eylül ayı toplantısı) varlığını doğrulayın.• Farklı kredi portföyleri için belirlenen tahsilat/çözümleme hedeflerinin gerçekçi (geçmiş performans ve piyasa koşullarıyla uyumlu) olup olmadığını değerlendirin.• Sorunlu alacak yönetimi süreçlerinde borçlulara gönderilen ihtarname veya bilgilendirme yazı örneklerini inceleyerek, borçlu iletişiminin kayıt altına alındığı ve içeriğin yasal gerekliliklere uygun olduğunu teyit edin.","Yönetim Kurulu Kararı (ör. 30/09/2023 tarih, No:2023/45) – ""2024-2026 Sorunlu Alacak Stratejisi"" onayı.Sorunlu Alacak Strateji Belgesi – her yıl için portföy bazında % tahsilat hedefleri tabloları ve belirlenen yöntemler (yeniden yapılandırma, satış vb.) bölümü.Borçlu Bildirim Mektupları/Ihtarname Örnekleri – Borcun ödenmemesi halinde izlenecek yasal yollar ve iletişim bilgilerini içeren, gönderim tarihi ve alındı teyidi kayıtlarıyla."
Sorunlu Alacak Çözümleme Rehberi Madde 11,Bankaların İç Sistemleri ve İSEDES Yönetmeliği (risk yönetimi entegrasyonu); EBA/GL/2018/06 (stratejinin tasarımı),"Banka, sorunlu alacak stratejisini oluştururken faaliyet ortamı ve dışsal koşulları değerlendirmiş, stratejiyi kısa, orta ve uzun vadeli bir takvim dahilinde planlamış, operasyonel bir planla desteklemiş ve bu stratejiyi banka yönetim süreçlerine entegre etmiş mi?","Stratejinin çevresel koşullar analiziyle ve vadeye göre yapılandırılması, bankanın planını gerçekçi piyasa verilerine dayandırmasını ve kısa-orta-uzun vadeli hedeflerle somutlaştırmasını sağlar. Operasyonel plan ile desteklenen ve yönetim süreçlerine entegre edilen bir strateji, kâğıt üzerinde kalmayıp fiilen uygulanabilir hale gelir. Bu bütüncül yaklaşım eksik olursa, strateji uygulanamaz veya değişen koşullara uyumsuz kalarak kredi riskinin artmasına yol açabilir.","• Strateji dokümanında veya ilgili yönetim raporlarında makroekonomik/dışsal koşul değerlendirmesine (ör. sektörel analizler, piyasa trendleri) yer verildiğini kontrol edin.• Stratejinin uygulanma takvimine bakarak, hedeflerin kısa (yaklaşık 1 yıl), orta (yaklaşık 3 yıl) ve uzun vadeler için ayrı ayrı tanımlanıp tanımlanmadığını inceleyin.• Operasyonel planın mevcut olup olmadığına ve stratejide öngörülen eylemlerin bu plan içinde zaman, sorumlu birim ve kaynak atamalarıyla belirtilip belirtilmediğine bakın.• Stratejinin banka içi politika ve prosedürlere nasıl yansıtıldığına (ör. risk komitesi tutanaklarında strateji takibinin yapılması, ilgili iç mevzuatta stratejiye atıf) dair kanıt arayın.","Sorunlu Alacak Stratejisi Belgesi – ""Faaliyet Ortamı Analizi"" başlıklı bölüm (ör. ekonomik koşullar, sektör yoğunlaşmaları değerlendirmesi).Strateji dokümanında zaman planı tablosu – kısa/orta/uzun vadeli hedeflerin tarih aralıklarıyla listelendiği kısım.Onaylı Operasyonel Plan – stratejide belirtilen hedeflere ulaşmak için atılacak adımların takvim, sorumlular ve kaynak bütçesiyle yer aldığı doküman.Risk/Yönetim Komitesi Toplantı Tutanağı – stratejinin onaylanıp uygulamaya alınmasının ve diğer yönetim süreçleriyle ilişkilendirilmesinin tartışıldığı kayıt."
Sorunlu Alacak Çözümleme Rehberi Madde 12,Bankaların İç Sistemleri ve İSEDES Yönetmeliği (sermaye değerlendirmesi); EBA/GL/2018/06 (strateji öncesi değerlendirme),"Banka, sorunlu alacak stratejisini belirlemeden önce, kendi iç kapasitesini (personel, süreç, sistem yeterlilikleri), dışsal koşulları ve strateji seçeneklerinin sermaye üzerindeki olası etkilerini gerçekçi şekilde değerlendirmiş mi?","Strateji öncesi yapılan öz değerlendirme, bankanın sorunlu kredi çözümleme konusunda mevcut yetkinliklerini ve eksiklerini görmesini sağlar. İç kapasite (uzmanlık, sistem, kaynak) analiz edilmeden belirlenen bir plan, uygulamada başarısız olabilir. Benzer şekilde dış ortam (makroekonomik koşullar, piyasa talebi) ve olası stratejilerin sermaye etkileri önceden incelenmezse, banka beklenmedik sermaye açığı veya uygunsuz strateji seçimi riskiyle karşılaşabilir. Bu madde, stratejinin sağlam bir temel ve gerçekçi varsayımlarla oluşturulmasını güvence altına alır.","• Bankanın strateji oluşturulmasından önce hazırladığı herhangi bir öz değerlendirme raporu veya durum analizi dokümanı olup olmadığını tespit edin ve varsa içeriğini inceleyin.• Öz değerlendirmede bankanın sorunlu alacak yönetimiyle ilgili organizasyonel yapısı, personel uzmanlığı, operasyonel süreçleri, bilgi sistemi altyapısı ve veri kalitesi gibi unsurların ele alınıp alınmadığını kontrol edin.• Dışsal koşullar ve faaliyet ortamına ilişkin varsayımların (ör. ekonomik büyüme, sektör koşulları, alacak satışı piyasası) değerlendirme içerisinde yer alıp almadığını doğrulayın.• Stratejiye ilişkin muhtemel sermaye etkilerinin (ör. büyük tutarlı satış veya silmeler sonrası sermaye yeterlilik oranındaki değişim) önceden kantitatif olarak analiz edilip edilmediğine dair kanıt arayın (ör. İSEDES raporları veya stres testi sonuçları).","Strateji Öncesi Öz Değerlendirme Raporu – bankanın iç kapasite ve dış ortam analizini içeren, strateji hazırlığına dair yönetim yazısı veya sunumu.İSEDES (İçsel Sermaye Yeterliliği Değerlendirmesi) Raporu – sorunlu alacakların farklı çözümleme senaryolarında sermaye yeterliliğine etkisini gösteren bölüm.Yönetim Kurulu/Komite Sunumu (Strateji Taslağı) – strateji öncesi değerlendirme sonuçlarını özetleyen ve strateji önerileriyle birlikte sunulan doküman."
Sorunlu Alacak Çözümleme Rehberi Madde 13,Kredilerin Sınıflandırılması Yönetmeliği md. 20 (donuk alacakların çözümleme planları); EBA/GL/2018/06 (hedefler ve operasyonel plan),"Banka sorunlu alacaklara ve alacaktan dolayı edinilen varlıklara ilişkin, belirli bir takvime bağlı niceliksel hedefleri belirlemiş ve bu hedefleri somut adımlarla destekleyen bir operasyonel plan hazırlamış mı? Strateji, bankanın öz değerlendirme bulgularına dayanıyor ve stratejinin uygulanması için farklı çözümleme seçeneklerinin analizini içeriyor mu?","Niceliksel ve zamana bağlı hedefler, bankanın sorunlu kredileri ne ölçüde ve ne hızla azaltacağını netleştirir, başarı kriterlerini ortaya koyar. Bu hedeflerin operasyonel planla desteklenmesi, kağıt üzerindeki stratejinin günlük faaliyete dönüşmesini sağlar. Stratejinin bankanın kendi yaptığı öz değerlendirmeye dayandırılması ve farklı çözüm yollarının (ör. yapılandırma, satış, tahsilat) analiz edilmesi ise planın gerçekçi, bankaya özgü ve tüm olasılıkları göz önüne alan bir yapıda olmasını temin eder. Bu unsurlar olmadan strateji belirsiz kalır ve uygulamada başarısız olma riski artar.","• Strateji belgesinde sorunlu krediler ve bunlara ilişkin edinilmiş varlıklar için sayısal hedeflerin (ör. belirli tutar veya oran düşüş hedefleri) bulunup bulunmadığını ve her hedefin bir takvim (yıl veya çeyrek bazında) ile ilişkilendirildiğini kontrol edin.• Operasyonel plan dokümanının stratejiyle birlikte mevcut olup olmadığını doğrulayın; planda her bir hedef için atılacak adımların, sorumlu birimlerin ve zamanlamaların tanımlandığını inceleyin.• Stratejinin giriş veya arka plan kısmında bankanın yaptığı iç değerlendirmeye (mevcut NPL profilinin analizi, geçmiş deneyimler vs.) atıf yapılıp yapılmadığını kontrol edin.• Strateji içinde veya eklerinde farklı çözümleme seçeneklerine (ör. yeniden yapılandır vs. satış) ilişkin senaryoların veya getiri/maliyet analizlerinin yapılıp yapılmadığını belirleyin.","Sorunlu Alacak Stratejisi – ""Hedefler"" bölümü altında, 2023-2025 arası her yıl sonunda ulaşılacak donuk alacak oranı hedefleri listesi.Operasyonel Plan Dokümanı – örneğin, 2023 için ""Tahsilat Takibi ve Varlık Satışı"" eyleminin sorumlusu Krediler Takip birimi, tarihi Q4 2023 olarak belirtildiği plan tablosu.Strateji Belgesi Ekleri – bankanın mevcut donuk alacak yapısını, öz değerlendirme özetini ve alternatif çözüm senaryolarının (ör. portföy satışı vs tahsilat) karşılaştırmasını içeren analiz bölümü."
Sorunlu Alacak Çözümleme Rehberi Madde 14,Bankacılık Kanunu md.93 ve Denetim Yönetmeliği md.7/A (Kurum gözetimi); EBA/GL/2018/06 (yönetim kurulu onayı),"Banka, sorunlu alacak stratejisi ve buna ilişkin operasyonel planını her yıl yönetim kurulu onayından geçirip en geç Eylül ayı sonunda BDDK’ya resmi olarak iletmiş mi?","Strateji ve planın yönetim kurulu tarafından onaylanması, bankanın en üst düzeyde bu plana bağlılığını ve hesap verebilirliğini sağlar. Her yıl Eylül sonunda BDDK’ya gönderim ise düzenleyici denetimi ve gözetimi mümkün kılarak bankanın hedeften sapma durumunda erken uyarı almasına imkân tanır. Bu gereklilikler, stratejinin ciddiyetini artırır ve uygulamanın üst yönetimce sahiplenilmesini ve düzenli dış denetimini güvence altına alır. Aksi halde strateji resmi bir taahhüt niteliği kazanmaz ve takibi zorlaşır.",• Yönetim kurulu toplantı tutanaklarında veya karar defterinde sorunlu alacak stratejisi ve operasyonel planın onaylandığına dair yıllık karar kayıtlarını arayın (özellikle üçüncü çeyrek toplantılarında).• Bankanın BDDK’ya yaptığı resmi bildirim yazışmalarını inceleyin; her yıl Eylül ayı sonunda BDDK’ya gönderilmiş strateji ve plan dokümanlarına ait üst yazı ve alındı kayıtlarının mevcut olup olmadığına bakın.• İletilen strateji ve planın BDDK tarafından alındığına dair bir teyit yazısı veya banka içi rapor bulunup bulunmadığını kontrol edin.• Geçmiş yıllara ait strateji gönderimlerinin sürekliliğini ve her seferinde yönetim kurulu onayının yenilendiğini doğrulayın.,"Yönetim Kurulu Karar Örneği – ""2024 yılı Sorunlu Alacak Stratejisi ve Operasyonel Planı"" başlıklı, 25.09.2023 tarihli onay kararı.BDDK’ya Gönderim Yazısı – 30.09.2023 tarih ve sayılı resmi yazı ekinde strateji ve plan dokümanlarının BDDK’ya iletildiğini gösterir belge.BDDK Alındı Yazısı veya E-posta Teyidi – Bankanın gönderdiği stratejinin Kurum kayıtlarına alındığını belirten dönüş yazısı."
Sorunlu Alacak Çözümleme Rehberi Madde 15,BDDK Raporlama Yönergeleri (periyodik NPL raporlaması); EBA/GL/2018/06 (hedef izleme),"Banka, sorunlu alacak stratejisi ve operasyonel planlar kapsamındaki gerçekleşmeler, hedeflerden sapmaları ve bu sapmalar için öngörülen düzeltici aksiyonları her yıl Eylül sonuna kadar BDDK’ya raporlamakta mı?","Bu madde, bankanın belirlediği stratejik hedeflere karşı gerçekleşen sonuçları yakından takip etmesini ve sapma varsa bunun nedenlerini analiz ederek düzeltici önlemler planlamasını gerektirir. Bu bilgilerinin her yıl düzenleyici otoriteye sunulması, bankayı hesap verebilir tutar ve hedeflerden kalıcı sapmaların erken tespit edilmesini sağlar. Böylece sorunlu kredi stokunun beklenenden farklı seyretmesi halinde, BDDK gerekli uyarı veya müdahalelerde bulunabilir. Sürekli izleme ve raporlama olmazsa, stratejinin etkinliği değerlendirilemez ve sorunlar derinleşene kadar gözden kaçabilir.","• Bankanın BDDK’ya gönderdiği yıllık raporları (ör. ""Sorunlu Alacak Stratejisi Gerçekleşme Raporu"") talep edin ve içerik olarak hedef-gerçekleşme karşılaştırmalarını içerip içermediğini inceleyin.• İlgili raporlarda, her bir portföy için yılbaşında belirlenen hedef değere karşı fiili gerçekleşen donuk alacak tutarının verilip verilmediğini ve aradaki farkların (sapmaların) sayısal ve neden analiziyle açıklandığını kontrol edin.• Sapmalar için öngörülen düzeltici aksiyonlar kısmında, bankanın hangi önlemleri almayı planladığını (ör. tahsilat süreçlerini güçlendirme, ek teminat takibi, satış planı hızlandırma gibi) belirttiğini doğrulayın.• Bu raporların her yıl düzenli olarak hazırlanıp BDDK’ya belirtilen sürede gönderildiğine dair kurumsal kayıtları (yazışma, yönetim kurulu sunumu vs.) kontrol edin.","Hedef-Gerçekleşme Analiz Raporu – 2022 yıl sonu itibarıyla donuk alacak tutarı hedefi vs gerçekleşmesini ve sapma yüzdesini içeren tablo ve grafikler.Sapma Nedenleri ve Aksiyon Planı Bölümü – Örneğin, hedefe ulaşılamayan portföyler için “Tahsilat oranı beklenenden düşük; yasal takip süreçleri hızlandırılacak ve yeni varlık satış girişimleri başlatılacak” şeklinde açıklama ve önlemlerin yer aldığı kısım.BDDK Rapor Gönderim Kayıtları – 30/09/2022 tarihli rapor üst yazısı ve gönderim çıktısı, alınan teyit mesajı veya banka içi raporlamada “BDDK Raporu sunuldu” notu."
Sorunlu Alacak Çözümleme Rehberi Madde 16,Bankaların İç Sistemleri Yönetmeliği (iç değerlendirme); EBA/GL/2018/06 (operasyonel kapasite değerlendirmesi),"Banka, sorunlu alacakların çözümüne yönelik kendi bünyesindeki eksikliklerin gerçekçi biçimde değerlendirip giderilmesi gereken noktaları tespit etmiş mi?","Bu madde, bankanın sorunlu kredi yönetimi alanındaki zayıflıklarını (ör. yetersiz personel, eksik süreç veya teknoloji) dürüstçe belirlemesini ve bunları gidermeye yönelik adımlar planlamasını gerektirir. Kendi eksiklerini göremeyen veya görmezden gelen bir banka, tahsilat ve yeniden yapılandırma süreçlerinde etkin olamayabilir ve risk birikimi devam eder. Gerçekçi öz değerlendirme, ileride oluşabilecek kayıpları azaltmak ve stratejinin başarı şansını artırmak için kritik önemdedir.","• Banka içinde sorunlu alacak yönetimine dair gerçekleştirilen bir iç değerlendirme çalışması veya raporu olup olmadığını öğrenin (ör. iç denetim raporu, danışmanlık değerlendirmesi, öz değerlendirme formu).• Bu değerlendirme mevcutsa, raporda bankanın eksik gördüğü konuların (ör. uzman personel ihtiyacı, süreç yavaşlıkları, yasal takipte gecikmeler vb.) açıkça tanımlanıp tanımlanmadığını ve bunlar için önerilen çözüm adımlarının belirtilip belirtilmediğini kontrol edin.• Bankanın eksiklikleri gidermek üzere attığı somut adımlara dair kanıt arayın: Örneğin yeni uzman işe alımları, eğitim programları, bilgi sistemlerinde iyileştirme projeleri başlatılması gibi girişimler planlanmış mı?• Yönetim kurulu veya üst yönetim toplantı tutanaklarında bu öz değerlendirme sonuçlarının ele alınıp alınmadığını ve gerekli kaynak tahsisinin yapılıp yapılmadığını inceleyin.","İç Değerlendirme Raporu – Sorunlu alacak yönetimi kapasitesine dair güçlü ve zayıf yön analizini, örneğin ""Tahsilat biriminde uzman eksikliği"" veya ""Veri kalitesi sorunları"" gibi tespitleri içeren doküman.İyileştirme Eylem Planı – Belirlenen her eksiklik için sorumlular ve hedef tarihleriyle hazırlanmış bir aksiyon listesi (ör. ""Q4 2023’e kadar yeni tahsis takip sistemi devreye alınacak"").Üst Yönetim Sunumu/Tutanağı – Öz değerlendirme bulgularının yönetimle paylaşıldığını ve belirlenen eksiklerin giderilmesi için onay verilen inisiyatifleri belgeleyen toplantı notları."
Sorunlu Alacak Çözümleme Rehberi Madde 17,Denetim Yönetmeliği md.7/A (sürekli izleme); EBA/GL/2018/06 (düzenli gözden geçirme),"Banka, sorunlu alacak stratejisi kapsamındaki hedeflerine ulaşmak amacıyla her yıl kapsamlı bir öz değerlendirme yapıyor mu?","Yıllık öz değerlendirme, bankanın sorunlu alacaklar stratejisini yaşayan bir süreç haline getirir. Her yıl yapılan analizler, bankanın strateji uygulamasında karşılaştığı engelleri veya iyileşen koşulları belirleyerek stratejinin güncellenmesine imkân tanır. Bu düzenli kontrol mekanizması olmadan, banka değişen risk koşullarına uyum sağlayamayabilir ve stratejik hedeflerden uzaklaşabilir.","• Banka içinde yıllık olarak hazırlanan bir ""Sorunlu Alacaklar Öz Değerlendirmesi"" raporu ya da benzeri bir dokümanın varlığını araştırın.• Bu çalışmanın her yıl rutin şekilde yapıldığını destekleyecek takvim veya görevlendirme belgelerini (ör. iç yönerge, yıllık iş planı) inceleyin.• Son birkaç yıla ait değerlendirmelerin tutarlılığını ve içeriğinin gelişim gösterip göstermediğini (örn. önceki yıldan gelen sorunlar için ilerleme değerlendirmesi yapılıp yapılmadığı) kontrol edin.• Öz değerlendirme sonuçlarının yönetim kuruluna sunulup sunulmadığına ve stratejiye revizyon getirmişse bunun karar kayıtlarına geçip geçmediğine bakın.","Yıllık Öz Değerlendirme Raporları – Örneğin 2022 ve 2023 yıllarına ait, sorunlu alacak stratejisinin gerçekleşme durumunu ve bankanın performansını karşılaştıran raporlar.İç Yönerge veya Takvim – Her yılın belli döneminde (ör. yaz aylarında) bu öz değerlendirmenin yapılacağını ve sorumlu bölümü belirten iç düzenleme belgesi.Yönetim Kurulu Sunumu – Öz değerlendirme bulgularının üst yönetime iletilerek strateji üzerinde tartışıldığını ve gerekli ayarlamaların önerildiğini gösteren sunum veya toplantı tutanağı."
Sorunlu Alacak Çözümleme Rehberi Madde 17(a),Kredilerin Sınıflandırılması Yönetmeliği md.5-6 (donuk alacak tanımları ve grupları); EBA/GL/2018/06 (NPL portföy analizi),"Banka, sorunlu alacak portföylerinin büyüklüğünü uygun kırılımlarla (ör. kredi türü, sınıfı) ve zaman içindeki gelişimini analiz ediyor mu? Ayrıca, portföy bazında sorunlu alacakların oluşumuna etki eden temel nedenleri (ör. ekonomik sektör, ürün özellikleri veya kredi süreçlerindeki aksaklıklar) belirleyip raporluyor mu?","Sorunlu kredilerin ne kadar büyük olduğu ve ne yönde seyrettiği (artış/azalış trendi) ile bu kredilerin oluşmasındaki başlıca nedenlerin anlaşılması, bankanın risk durumunu teşhis etmesinin ilk adımıdır. Bu analiz sayesinde hangi portföylerde risk biriktiği ve hangi faktörlerin (ör. belirli bir sektörün çöküşü, yanlış kredi politikaları) donuk alacakları tetiklediği ortaya konur. Böylelikle banka, sorunun kök nedenlerine yönelik önlem geliştirebilir. Bu detaylı inceleme yapılmazsa, strateji yanlış önceliklere odaklanabilir ve sorunlu alacaklar beklenmedik şekilde büyümeye devam edebilir.","• Bankanın sorunlu alacaklara ilişkin yönetim raporlarında veya öz değerlendirme dokümanlarında, kredi portföylerinin donuk alacak tutarının kırılımlı şekilde (ör. bireysel/ticari, ürün bazında) sunulup sunulmadığını kontrol edin.• Son birkaç dönem için donuk alacak tutarlarındaki değişimin (trendin) izlenip izlenmediğini, artış veya azalış oranlarının hesaplandığını inceleyin.• Sorunlu alacakların belirleyicileri konusunda bankanın bir analiz yapıp yapmadığına bakın: Örneğin raporlarda ""Portföy bazında TGA oluşum nedenleri"" başlığı altında ekonomik koşullar, sektör şokları, operasyonel aksaklıklar gibi nedenlerin tartışılıp tartışılmadığını kontrol edin.• Farklı portföyler için eğer mümkünse, donuk alacak oluşum hızını etkileyen göstergelerin (ör. kredi türü bazında temerrüt oranları) takip edilip edilmediğine dair kanıt arayın.","Sorunlu Krediler Raporu – perakende, KOBİ, kurumsal gibi kategorilere göre ayrı ayrı donuk alacak tutarı ve oranlarını gösteren, son 8 çeyreklik trend grafikleri içeren rapor.Portföy Bazlı Neden Analizi – Örneğin, inşaat sektörü kredilerinde donuk alacak artışının gerekçesi olarak ""2023’te konut piyasasında durgunluk"" veya tüketici kredilerinde ""işsizlik artışı"" gibi tespitlerin yer aldığı bölüm.İç Sunum – Kredi risk komitesine sunulan bir dokümanda, her portföy için donuk alacak artışına katkı yapan faktörlerin (temel nedenlerin) listelendiği slayt."
Sorunlu Alacak Çözümleme Rehberi Madde 17(b),Kredi Tahsis ve İzleme Rehberi (geçmiş uygulamaların değerlendirilmesi); EBA/GL/2018/06 (önceki yeniden yapılandırma sonuçları),"Banka, geçmişte sorunlu alacaklar konusunda uyguladığı yöntemleri (ör. yeniden yapılandırma, tahsilat kampanyaları, satışlar) ve bu uygulamaların gerekçeleri ile ne kadar başarılı olduğunu analiz ediyor mu?","Bankanın geçmişte donuk alacaklarını azaltmak için denediği yöntemlerin türü ve sonuçları, gelecekteki strateji için önemli bir ders niteliğindedir. Hangi yöntemlerin işe yaradığı veya yaramadığı, hangi gerekçelerle tercih edildiği incelenirse banka aynı hatalı yaklaşımları tekrarlamaz ve başarılı uygulamaları devam ettirir. Bu değerlendirme yapılmadığında, banka stratejisini tarihi tecrübelerden bağımsız kurgulayarak kaynaklarını verimsiz yöntemlere harcayabilir.","• Bankanın sorunlu kredi yönetimi raporlarında veya öz değerlendirmesinde, geçmiş yıllarda uygulanan başlıca çözümleme yöntemlerinin (ör. 2021’de toplu kredi satışı, 2022’de yeniden yapılandırma programı gibi) listelendiği bir bölüm olup olmadığına bakın.• Bu uygulamaların sonuçlarına ilişkin banka içi bir analizin mevcut olup olmadığını kontrol edin: Örneğin, yeniden yapılandırılan kredilerin ne kadarının tekrar temerrüde düştüğü, satışlarda hedeflenen tutarın ne kadarının gerçekleştiği gibi metriklerin izlenip izlenmediğini inceleyin.• Geçmiş uygulamaların gerekçelerinin veya koşullarının tartışıldığına dair kanıt arayın (ör. ""pandemi döneminde X yöntemi seçildi, çünkü..."" şeklinde açıklamalar).• Bankanın bu geçmiş performans değerlendirmesi sonucunda stratejisinde değişiklik yapıp yapmadığını (ör. etkisiz olduğu görülen bir yöntemi bırakıp yeni bir yöntem benimsediğini) yönetim belgelerinden veya kararlarından teyit edin.","Önceki Dönem Uygulama Değerlendirme Raporu – geçmiş 2-3 yıl içinde gerçekleştirilen yeniden yapılandırma sayıları, satış işlemleri ve tahsilat kampanyalarının başarı oranlarını içeren doküman.Yeniden Yapılandırma Sonuç Analizi – örneğin, 2021 yılında yeniden yapılandırılan kredilerin %40’ının iki yıl içinde tekrar donuk hale geldiğini gösteren istatistiksel tablo ve yorumlar.Yönetim Kurulu/Komite Notu – geçmiş yöntemlerin etkinliği değerlendirildikten sonra, belirli bir yöntemin terk edilmesine veya iyileştirilmesine karar verildiğini kayda geçiren toplantı notu."
