Mevuzat;Analiz Edilen Madde;İlişkili Rehber Maddesi (Yerel / Uluslararası);Kontrol Sorusu;Açıklama ve Gerekçe;Denetim Testi (Prosedür);Uygulama Notu / Örnek Kanıt;;
Banka Kartları Ve Kredi Kartları Hakkında Yönetmelik;Madde 5(a);"5464 sayılı Kanun md 4(b) – Kurucu yeterlilik şartları (mali güç, itibar); Basel Core Principles 5 – Licensing criteria (kurucuların uygunluğu değerlendirmesi)";Kurucuların noter onaylı beyannameleri sunulmuş mu? Bu beyanlar, Yönetmelik ekindeki (Ek-1 ve Ek-2) örneklere uygun biçimde düzenlenmiş ve imzalanmış mı?;Kurucu beyannameleri, kurucuların mevzuatta öngörülen nitelikleri taşıdıklarını yazılı olarak taahhüt etmelerini sağlar. Bu uygulama, kuruluş izin sürecinde kurucuların finansal güç, dürüstlük ve itibar şartlarını karşıladığını belgeleyerek denetime imkân tanır. Böylece uygun olmayan kişilerin kartlı sistem kuruluşu kurması önlenerek sektörün güvenilirliği ve finansal istikrar korunur.;Denetim Prosedürü: Başvuru dosyasında her bir kurucuya ait, BDDK’nın öngördüğü Ek-1 veya Ek-2 formatındaki kurucu beyannamelerinin bulunup bulunmadığı tespit edilir. Beyannamelerin noter tasdikli olduğu ve içeriklerinin (örneğin kurucunun mali güç, itibar, adli sicil durumuna dair beyanlarının) Yönetmelikte belirtilen şartları karşılayıp karşılamadığı incelenir.;"Kurucu Beyannamesi (Ek-1/Ek-2): Beyanda her kurucunun ""... 5411 sayılı Bankacılık Kanunu ve 5464 sayılı Kanun kapsamında aranan niteliklere haiz olduğumu beyan ederim."" ifadesini yazılı olarak verdiği kontrol edilir. Noter onaylı beyannamelerin asılları dosyada bulunmalıdır.";;
Banka Kartları Ve Kredi Kartları Hakkında Yönetmelik;Madde 5(b);"5464 sayılı Kanun md 4(b) – Kurucuların mali gücü (finansal yeterlilik); Basel Core Principles 5 – Licensing criteria (kurucuların finansal kapasitesinin değerlendirilmesi)";Kurucuların beyan ettikleri mevduat ve kredi hesaplarına ilişkin banka referans yazıları mevcut mu? Tüm yazılar aynı tarihte düzenlenmiş mi?;Bu bent, kurucuların mali durumlarının objektif olarak değerlendirilmesi için bankalardan alınan finansal referans bilgilerinin sunulmasını şart koşar. Kurucuların banka hesaplarındaki mevduat varlıkları ile kredi borçlarının resmi yazılarla tevsiki, kurucuların gerekli mali güce sahip olduklarını kanıtlamaya yöneliktir. Böylece sermayenin kaynağı ve yeterliliği denetlenerek, finansal açıdan zayıf veya aşırı borçlu kişilerin kart kuruluşu kurmaları engellenir.;Denetim Prosedürü: Her kurucu için, beyan edilen banka hesaplarına dair ilgili bankadan alınmış referans mektupları dosyada aranır. Bu yazıların tümünün aynı tarihli olduğuna ve içeriklerinin kurucuların beyanlarıyla tutarlı olduğuna dikkat edilir. Yazılarda her kurucunun mevduat tutarları ve varsa kredi borçları açıkça belirtilmiş olmalıdır. Denetçi, belgelerin banka yetkililerince imzalı/mühürlü olduğunu ve başvuru tarihine yakın bir tarihte düzenlendiğini doğrular.;"Banka Referans Yazısı: Örneğin, ""... 01.07.2025 tarihi itibariyle, [Kurucu Adı] adına kayıtlı hesaplarda 5.000.000 TL mevduat bulunmaktadır; herhangi bir kredili borç bakiyesi yoktur."" şeklinde ifadeler içeren, bankanın antetli kağıdına yazılmış ve imzalı bir yazı dosyada bulunmalıdır. Tüm kurucular için bu yazıların aynı günlü olması beklenir.";;
Banka Kartları Ve Kredi Kartları Hakkında Yönetmelik;Madde 5(c);"5464 sayılı Kanun md 4(e) – Ana sözleşmenin Kanuna uygun olması; Basel Core Principles 5 – Licensing criteria (kuruluşun yasal yapısının uygunluğu)";Kart kuruluşunun anonim şirket şeklinde hazırlanan ana sözleşmesi Kurum’a sunulmuş mu? Sözleşme, 5464 sayılı Kanun’daki gerekliliklere uygun mu (faaliyet konusu, sermaye tutarı vb.)?;Ortaklık ana sözleşmesinin incelenmesi, kurulacak kart kuruluşunun şirket yapısının ve faaliyet konularının mevzuata uygun olduğunu teyit etmek içindir. Ana sözleşmede, şirketin anonim şirket olarak kurulması, kartlı sistem faaliyet alanının açıkça belirtilmesi ve 5464 sayılı Kanun hükümlerine aykırı herhangi bir hüküm bulunmaması gereklidir. Bu şekilde kuruluşun hukuki yapısı sağlama alınarak ileride ortaya çıkabilecek uyumsuzluk riskleri azaltılır.;Denetim Prosedürü: Başvuru dosyasındaki ana sözleşme kopyası incelenir. Şirket unvanı, amaç ve konu maddelerinde kartlı ödeme sistemleriyle ilgili faaliyetlerin tanımlandığı ve sermaye tutarının (en az yasal asgari düzeyde) belirtildiği teyit edilir. Ana sözleşmede payların tamamının nama yazılı olması ve varsa imtiyazlı payların Kanuna uygun şekilde tanımlandığı kontrol edilir. Ayrıca yönetim kurulu oluşumu, genel kurul ve denetçi maddeleri gibi hükümlerin ilgili mevzuata (Türk Ticaret Kanunu ve 5464 sayılı Kanun) uygun olup olmadığı değerlendirilir.;"Ana Sözleşme Örneği: Amaç ve konu maddesinde ""... Bankacılık Düzenleme ve Denetleme Kurumu’ndan alınacak izin çerçevesinde banka kartı ve kredi kartı çıkarılması ile kartlı sistem kurma ve işletme faaliyetlerini yürütmek..."" ifadesi bulunmalıdır. Ayrıca ana sözleşmede şirket sermayesinin tutarı (ör. 50.000.000 TL), payların nama yazılı olduğu ve kuruluşun 5464 sayılı Kanuna tabi olduğu açıkça yer almalıdır.";;
Banka Kartları Ve Kredi Kartları Hakkında Yönetmelik;Madde 5(ç);"BDDK Kuruluş İzni Kılavuzu – İş planı ve projeksiyon gerekliliği; Basel Core Principles 5 – Licensing criteria (stratejik plan ve mali projeksiyonların değerlendirilmesi)";Başvuru dosyasında detaylı bir fizibilite raporu var mı? Kuruluşun faaliyetinden beklenen faydayı analiz eden bu rapor ile ilk üç yılın tahmini bilanço ve kâr-zarar tabloları sunulmuş mu?;Kurul, yeni kart kuruluşlarının sürdürülebilir bir iş modeline sahip olduğunu görmek için fizibilite etüdü ve finansal projeksiyon talep eder. Bu rapor, kurulacak şirketin planlanan faaliyetleri sonucunda elde etmeyi hedeflediği pazar payı, müşteri sayısı, gelir ve kârlılık gibi unsurları analiz eder. Üç yıllık finansal tablolar (tahmini bilançolar ve gelir-gider cetvelleri) öngörüsüyle birlikte sunulan iş planı sayesinde, kuruluşun yaşayabilirliği ve sermaye yeterliliği proaktif olarak değerlendirilir. Böylece gerçekçi olmayan veya yetersiz iş planına sahip girişimlerin lisanslanması engellenir.;Denetim Prosedürü: Sunulan fizibilite raporu ve üç yıllık finansal tahminler incelenir. Raporda pazar analizi, hedeflenen kart hamili ve üye işyeri sayıları, beklenen işlem hacmi, gelir kalemleri ve maliyet projeksiyonlarının detaylı şekilde ele alınıp alınmadığına bakılır. İlk üç yıla ait tahmini bilançolarda ve kâr/zarar tablolarında öngörülen özkaynak yeterliliği, kârlılık ve likidite göstergeleri değerlendirilecektir. Varsayımlar gerçekçilik açısından (örneğin büyüme oranları, faiz oranları, pazar payı artışı gibi) sorgulanır ve gerekirse sektör ortalamalarıyla kıyaslama yapılır.;"Fizibilite Raporu: Örneğin raporda ""İlk yıl sonunda 50.000 adet karta ve %5 pazar payına ulaşılması, ikinci yıl X TL net kâr elde edilmesi öngörülmektedir."" gibi hedefler belirtilmiş olmalıdır. Tahmini Finansal Tablolar: Öngörülen bilançoda ""nakdi krediler: 100.000.000 TL"", ""özsermaye: 60.000.000 TL"" gibi kalemler yer almalı; gelir tablosunda ise ""Net Kar: ... TL"" şeklinde kârlılık projeksiyonu gösterilmelidir.";;
Banka Kartları Ve Kredi Kartları Hakkında Yönetmelik;Madde 5(d);5411 sayılı Bankacılık Kanunu md 7 – Kurucu ortaklarda aranacak şartlar (iflas etmemiş olma)； Basel Core Principles 5 – Licensing criteria (kurucuların mali geçmiş ve itibar değerlendirmesi);Kurucuların iflas etmiş olmadığına ve haklarında iflasın ertelenmesi kararı bulunmadığına dair Asliye Ticaret Mahkemesi belgeleri var mı? Ayrıca kurucuların konkordato ilan etmediğine dair İcra Mahkemesi yazıları alınmış mı?;Bu düzenleme, kurucuların mali geçmişinde ciddi olumsuzluk (iflas, iflas erteleme veya konkordato) bulunmadığını resmi olarak teyit etmeyi amaçlar. Kuruculardan herhangi birinin iflas etmiş olması veya borçlarından dolayı konkordato/yeniden yapılandırma sürecine girmiş olması, yeni kurulacak finansal kuruluşun güvenilirliğini zedeleyebileceğinden istenmez. Dolayısıyla, finansal itibarını yitirmiş kişilerin kart kuruluşu kurması engellenerek sektörde güven kaybı ve riskli girişimler önlenir.;"Denetim Prosedürü: Her bir kurucu hakkında alınmış mahkeme yazıları dosyada kontrol edilir. Asliye Ticaret Mahkemesi’nden alınan belge ile kurucunun iflas etmiş ya da iflasının ertelenmiş olmadığı doğrulanır; İcra (veya Asliye Ticaret) Mahkemesi yazısıyla da konkordato ilan etmediği teyit edilir. Bu belgelerin güncel tarihli ve orijinallerinin (veya noter onaylı örneklerinin) bulunduğu denetlenir. Belgelerde ""… hakkında iflasın açılmadığı/ertelenmediği…"" ve ""… konkordato talebinde bulunmadığı…"" gibi ifadelerin yer alıp almadığına bakılır.";"Mahkeme Yazısı Örneği: ""... [Kurucu Adı] hakkında iflasın açılmadığı ve iflasın ertelenmesi kararı bulunmadığı, konkordato talebinin de olmadığı anlaşılmıştır."" şeklinde bir ibare Asliye Ticaret Mahkemesi yazısında yer almalıdır. Benzer şekilde İcra Mahkemesi’nden alınan belgede kurucunun ""… konkordato ilan etmediği…"" belirtilmiş olmalıdır. Bu belgelerin mahkeme mühür ve ıslak imza taşıdığı görülmelidir.";;
Banka Kartları Ve Kredi Kartları Hakkında Yönetmelik;Madde 5(e);"5464 sayılı Kanun md 4(b) – Kurucuların dürüstlük ve iyi hal şartı; Basel Core Principles 5 – Licensing criteria (kurucuların sabıka kaydının temiz olması)";Gerçek kişi kurucuların, son 6 ay içinde alınmış “Adli Sicil ve Arşiv Kaydı” belgeleri var mı? Bu sicil kayıtlarında, kurucuların yüz kızartıcı veya finansal suçlardan mahkûmiyetinin olmadığı teyit ediliyor mu?;Kurucuların adli sicil kaydının temiz olması şartı, finansal sektöre girecek kişilerin dürüstlük ve iyi şöhret sahibi olmalarını güvence altına alır. Özellikle zimmet, dolandırıcılık, sahtecilik, kara para aklama gibi ağır suçlardan hüküm giymiş kişilerin finansal kuruluş kurucu olması, sektörün itibarını zedeleyeceği ve risk oluşturacağı için engellenir. Adli sicil taraması ile suç geçmişi bulunan şahısların kartlı sistem kurucusu olarak sisteme girmesi önlenerek sektöre duyulan güven korunur.;"Denetim Prosedürü: Gerçek kişi kurucuların her biri için Cumhuriyet Başsavcılığı’ndan veya e-Devlet üzerinden alınmış Adli Sicil Belgesi (arşiv kayıtlı) dosyada bulunmalıdır. Denetçi, bu belgelerin son altı ay içinde düzenlendiğini ve belgelerde ""Adli sicil kaydı bulunmamaktadır"" ibaresinin yer aldığını kontrol eder. Sicil dökümlerinde özellikle banka ve finansal suçlara ilişkin bir sabıka kaydı olup olmadığına dikkat edilir. Kurucunun adli sicilinde herhangi bir kayıt çıkması durumunda, bunun 5464 sayılı Kanun kapsamında kurucu olmaya engel teşkil edip etmediği değerlendirilir.";"Adli Sicil Belgesi: Belgenin üzerinde ""Arşiv Kaydı Dahil Adli Sicil Kaydı Yoktur"" ibaresi bulunmalıdır. Özellikle 5237 sayılı Türk Ceza Kanunu’nda yer alan yüz kızartıcı suçlar veya 5549 sayılı Kanun kapsamındaki kara para aklama suçlarına dair herhangi bir mahkumiyet notu olmadığından emin olunur. Belgeler, adli sicil biriminin e-imzasını veya ıslak mührünü taşımalıdır.";;
Banka Kartları Ve Kredi Kartları Hakkında Yönetmelik;Madde 5(f);"Türk Ticaret Kanunu – Şirket yetkili organlarının karar yükümlülüğü; Basel Core Principles 5 – Licensing criteria (pay sahibi şirketlerin kurumsal onayı)";Tüzel kişi kurucu ortakların, yeni kart kuruluşuna ortak olma kararı kendi yetkili kurullarından (yönetim kurulu veya genel kurul) alınmış mı? Bu karar örnekleri Kuruma sunuldu mu?;Tüzel kişilerin kurucu olması durumunda, ilgili şirketlerin de bu yatırıma kurumsal olarak onay vermesi gerekir. Yetkili kurul (yönetim kurulu ya da gerekiyorsa genel kurul) kararı, kurucu şirketin yönetim organlarının kart kuruluşuna ortak olma konusunda bilgilendirilip onay verdiklerini gösterir. Bu şart, kurumsal yönetişim ilkelerine uygun olarak pay sahibi şirketlerin hissedar bilgisi olmadan riskli yatırımlara girişmesini önler ve yatırım kararlarının sağlam bir zemine oturmasını sağlar.;Denetim Prosedürü: Başvuru dosyasında, her bir tüzel kişi kurucu için alınmış yönetim kurulu veya genel kurul karar örnekleri aranır. Karar metinlerinde ilgili şirketin belirli bir tutar/pay oranıyla yeni kurulacak karta dayalı ödeme şirketine kurucu ortak olmasına onay verildiği açıkça görülmelidir. Denetçi, karar belgelerinin şirket yetkililerince imzalandığını, karar tarihinin yakın olduğunu ve kararın şirketin iç mevzuatına (örneğin esas sözleşme hükümlerine) uygun şekilde alındığını kontrol eder. Ayrıca gerekli hallerde genel kurul onayı gerekip gerekmediği (yatırım tutarına veya şirket ana sözleşmesine göre) değerlendirilir.;"Kurul Karar Örneği: ""[Tüzel Kişi Kurucu] yönetim kurulu, [Yeni Şirket Adı] unvanlı kartlı sistem kuruluşuna %X oranında payla kurucu ortak olunmasına karar vermiştir."" şeklinde bir ibare karar metninde yer almalıdır. Karar, şirket yetkili organı tarafından usulüne uygun alınmış olmalı; karar nüshası şirket kaşesiyle onaylanmış ve noter tasdikli olarak başvuru dosyasına eklenmiş olmalıdır.";;
Banka Kartları Ve Kredi Kartları Hakkında Yönetmelik;Madde 5(g);"5411 sayılı Bankacılık Kanunu md 8 – Tasfiyeye uğramış finansal kuruluşlara ortaklık yasağı; Basel Core Principles 5 – Licensing criteria (kurucuların geçmiş finansal başarısızlıklarının dikkate alınması)";Kurucular, daha önce tasfiyesine karar verilmiş herhangi bir banker, sigorta şirketi veya sermaye piyasası kurumunda doğrudan ya da dolaylı %10 veya daha fazla pay sahibi olmadıklarını beyan etmişler mi?;Bu bent, geçmişte finansal sektörde başarısız olup tasfiyeye gitmiş kurumların büyük ortaklarının yeni bir finansal kuruluş kurmasını engellemeyi amaçlar. Tasfiyeye tabi tutulmuş bankerler, sigorta şirketleri veya sermaye piyasası kurumlarında %10 ve üzeri payı bulunan kişiler, böyle bir geçmişleri olduğundan yeni kurulacak kart şirketinde kurucu olamazlar. Bu kısıtlama, geçmişte ciddi finansal başarısızlıklara karışmış veya gözetim zafiyeti yaşatmış ortakların tekrar sisteme girerek benzer riskler yaratmasını önleyerek sektörün güvenliğini artırır.;"Denetim Prosedürü: Her kurucudan bu konuyla ilgili yazılı beyan alındığı doğrulanır. Denetçi, dosyadaki imzalı beyanlarda kurucuların ""… tasfiyeye tabi tutulan herhangi bir banker, sigorta şirketi veya finansal kuruluşa doğrudan veya dolaylı olarak %10’dan fazla pay sahipliği bulunmadığını…"" beyan ettiklerini kontrol eder. Gerek duyulursa kurucuların geçmiş ortaklık kayıtları (örneğin Ticaret Sicili gazetesi arşivleri veya kamu otoritesi kayıtları) incelenerek beyanların doğruluğu teyit edilir.";"Kurucu Beyanı: ""Tarafımın, tasfiyesine karar verilmiş herhangi bir banker, sigorta şirketi veya sermaye piyasası kurumunda doğrudan veya dolaylı %10 veya üzeri oranında pay sahipliği bulunmamaktadır."" şeklinde bir ifade her bir kurucu tarafından imzalanmış olmalıdır. Bu beyan, Ek-3 formatında hazırlanarak başvuru dosyasına konulur ve gerçeğe aykırı beyan durumunda yasal sorumluluk içerir.";;
Banka Kartları Ve Kredi Kartları Hakkında Yönetmelik;Madde 5(ğ);"5411 sayılı Bankacılık Kanunu md 8 – Tasfiye edilen/TMSF bankalarında pay sahibi kuruculara kısıt; Basel Core Principles 5 – Licensing criteria (önceki bankacılık başarısızlıklarının dikkate alınması)";Kurucular, Tasarruf Mevduatı Sigorta Fonuna (TMSF) devredilen bankalarda devir öncesinde %10 veya daha fazla pay sahibi olmadıklarını beyan etmiş mi?;Bu hüküm, geçmişte faaliyetleri sonlandırılarak TMSF’ye devredilen bankaların önemli ortaklarının yeni bir kart kuruluşu kurmasını engellemek içindir. TMSF’ye devredilen bankalarda %10 ve üzeri pay sahibi olmuş kişiler, bu bankaların başarısızlığında pay sahibi oldukları için benzer bir finansal kuruluşa kurucu olmaları sakıncalı görülür. Böylece, batık banka ortaklarının sektöre yeniden girerek risk oluşturmasının önüne geçilir ve yeni kuruluşların güvenilirliği teminat altına alınır.;"Denetim Prosedürü: Kurucuların bu konuda sunduğu beyanlar dosyada kontrol edilir. Beyanlarda her bir kurucunun ""… Tasarruf Mevduatı Sigorta Fonuna devredilen herhangi bir bankada, devir tarihinden önce doğrudan veya dolaylı %10 ve üzerinde pay sahibi olmadığımı beyan ederim…"" şeklinde ifadelerle taahhütte bulunduğu görülmelidir. Denetçi bu beyanların her kurucu tarafından imzalandığını doğrular. Gerekirse BDDK ve TMSF kayıtlarında kurucuların geçmiş pay sahiplikleri araştırılarak beyanların doğruluğu teyit edilir.";"Kurucu Beyanı: ""… Fon’a devredilen hiçbir bankada, devir öncesinde doğrudan veya dolaylı %10 veya daha fazla payım bulunmadığını beyan ederim."" ifadesi bulunmalıdır. Tüm kurucuların bu doğrultudaki beyanlarını içerir Ek-3 formları başvuru dosyasında yer almalı ve imzalı olmalıdır.";;
Banka Kartları Ve Kredi Kartları Hakkında Yönetmelik;Madde 5(h);"5464 sayılı Kanun md 4(b), (c) – Kurucuların şeffaf yapısı (ortaklık ve sermaye durumu); Basel Core Principles 5 – Licensing criteria (pay sahiplerinin şeffaflığı ve mali durumu)";Tüzel kişi kurucuların şirket bilgileri ve finansal durumları tam olarak sunulmuş mu? İlgili Ticaret Sicili Gazeteleri (ortaklar, pay oranları, imtiyazlar), faaliyet konuları, son üç yıllık finansal tablolar (YMM onaylı) ve varsa kredi derecelendirme raporları dosyada var mı?;Kurul, tüzel kişi kurucunun yapısını ve finansal gücünü anlamak için ilgili şirket hakkında detaylı bilgi talep etmektedir. Ticaret Sicili Gazetesi ve ortaklık yapısını gösteren listeler, kurucu şirketin ortaklarını, pay oranlarını ve imtiyazlı paylarını ortaya koyar. Son üç yılın bilanço ve kâr/zarar tablolarının yeminli mali müşavir onaylı olarak sunulması, kurucu şirketin mali durumunu ve performansını değerlendirmeye yöneliktir. Varsa bağımsız derecelendirme raporu da şirketin kredi değerliliği hakkında Kuruma dış kaynaklı bir fikir verir. Tüm bu bilgiler, tüzel kurucunun finansal sağlamlığını ve kurumsal şeffaflığını ortaya koyarak kuruluş izni kararında önemli bir dayanak oluşturur.;"Denetim Prosedürü: Her bir tüzel kurucu şirkete ait Ticaret Sicili Gazetesi örneği incelenir. Bu gazetede kurucu şirketin kuruluş ilanı, sermaye tutarı, ortaklarının isimleri ve pay oranları ile varsa imtiyazlı paylara dair bilgilerin yer alıp almadığına bakılır. Ayrıca kurucu şirketlerin son üç yıla ait bilanço ve gelir tablolarının yeminli mali müşavir onaylı örnekleri dosyada bulunmalıdır; denetçi bu tablolardan şirketin kârlılık, likidite ve özkaynak yeterliliği gibi finansal göstergelerini analiz eder. Eğer kurucu şirkete ilişkin bir kredi derecelendirme raporu sunulmuşsa, rapordaki kredi notu (örneğin BBB+ (stabil) gibi) ve rapor tarihi dikkate alınarak şirketin finansal güvenilirliği konusunda ek değerlendirme yapılır.";"Ticaret Sicili & Mali Tablolar: Ticaret Sicili Gazetesinde kurucu şirketin ortakları ve pay dağılımı örneğin ""A Grubu imtiyazlı paylar: %60 – [Ortak Adı]"" şeklinde listelenmiş olmalıdır. YMM onaylı finansal tablolarda son üç yılın net kâr/zarar rakamları ve özkaynak büyüklükleri görülmelidir (örn. 2022 yılı net kârı X TL). Derecelendirme raporu varsa, raporda ""Uzun vadeli ulusal not: AA+"" gibi bir ifade yer almalı ve rapor, uluslararası derecelendirme kuruluşlarından biri tarafından düzenlenmiş olmalıdır.";;
